(4907, 16797.93677323131)
(4519, 12194.711498010587)
(4809, 26586.539728873086)
(5555, 108561.87636399858)
(4587, 7129.312736783752)
(4569, 14918.034531862539)
(4186, 8659.227959360946)
(4803, 20076.27040872217)
(4428, 11896.147758648824)
(4611, 13677.047290292878)
(4716, 17079.11451634762)
(4636, 12430.103162536765)
(4485, 13437.601063574657)
(4844, 82958.62476499267)
(4727, 21798.473200359207)
(4743, 9923.282841746157)
(4756, 18700.162869972068)
(4305, 6781.60316657252)
(4528, 8890.925368680031)
(4499, 17083.27988107923)
(4774, 19266.232312860073)
(5004, 26946.842443816997)
(4627, 12165.337980103874)
(4837, 17379.00231294195)
(4202, 7684.701453670452)
(4489, 11742.023757055795)
(5350, 74110.94925484154)
(4850, 22521.76871160146)
(4748, 11012.707967016895)
(4649, 10498.759018497312)
(4830, 18584.5844060366)
(5163, 18745.048019598966)
(5213, 90897.68264248791)
(4835, 20207.15330278184)
(4177, 9353.847373994093)
(4660, 28512.65934213404)
(4969, 20593.659424505353)
(5195, 77020.61550664289)
(4109, 8606.944174488408)
(4656, 11792.970239919301)
(5077, 27169.46567182735)
(4486, 10516.950561555162)
(4682, 18688.98084187807)
(4987, 17039.256982049745)
(4962, 40946.09984831324)
(4640, 14069.258299627481)
(4533, 9784.871539380252)
(5032, 32976.56721846814)
(5004, 48302.724361445464)
(4813, 31338.36399000117)
